CogID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110
English	animal	to eat	beans	water	hand	clothes	tree	mountain	straw mat	mouth	bone	chile	woman	rope	road	work	handspan	to come	to run	to be	to sing	to be born	to burn	to look	to drink	to buy	now	house	yesterday	one	paper	stool	lime	uncle	aunt	frog	bird	wall	town	brother	hole	flower	deer	inside	dog	stomach	man	word	clay pot	metal	meat	cross-sex sibling	adobe	child	sibling's wife	ear	tooth	river	cold	good	medicine	four	day	cotton	snake	sandal	cane	tortilla	head	comal	soap	face	corn	stone	moon	to go	comb	sister	to cut	to speak	year	niece	nephew	foot	herb, bush	thread	sweet	nine	two	five	fingernail	rat	turkey hen	fish	black	sibling's husband	long	big (sg)	white	green	small (in pieces)	red	yellow	poor	to sell	precious metal	new	little	people	tongue
PM Couplet	HHʔ	HHʔ	HHʔ	HHʔ	HHʔ	HHʔ	HHʔ	HHʔ	HHʔ	HHʔ	HHʔ	HHʔ	HHʔ	HHʔ	HHʔ	HH	HH	HH	HH	HH	HH	HH	HH	HH	HH	HH	HH	HH	HH	HH	HL	HL	HL	HL	HL	HL	HL	HL	HL	HL	HL	HL	HL	HL	HL	LH	LH	LH	LH	LH	LH	LH	LH	LH	LH	LH	LH	LH	LH	LH	LLʔ	LLʔ	LLʔ	LLʔ	LLʔ	LLʔ	LLʔ	LLʔ	LLʔ	LLʔ	LLʔ	LLʔ	LLʔ	LLʔ	LLʔ	LL	LL	LL	LL	LL	LL	LL	LL	LL	LL	LL	LL	LL	LL	LL	MT	MT	MT	MT	MT	MT	MT	MT	MT	MT	MT	MT	MT	MT	MT	MT	MT	MT	MT	MT
Diu	kɨ̀tɨ̀										žɨ̀kɨ̀	žàʔà																		ɨ̧̀ɨ̧̀	tú'tú			'đìtò	'đìđí					'ñànì												kú’ʔá		đá’ʔžá	šà’nú	đò’ʔó				ƀà’ʔá	tá’tná̧	kó̧’ó̧	kɨ́’ú				ⁿdó’ó							žú’ú				kú’ʔú				đí’kú	đà’ší	šé’ʔé		žú’ʔá		ɨ̧́’ɨ̧́	úú					čákà		kà’đá		kà̧ʔnù̧					'kʷà̧à̧					'lùčì		
Pe	kɨ̀tɨ̀	kàšì	ⁿdùčì	ⁿdùtè	ⁿdàʔà		žùtù̧	žùkù	žùù	žùʔù	žɨ̀kɨ̀	žàʔà		žòʔò	ìčì	čî̧ù̧	tòò	kìšì	kùnù	kùù	kàtà	kàkù	kàʔmì	kòtò	kòʔò	kʷà̧à̧	ƀìtà̧	ƀèʔè	ìkù	ɨ̧̀ɨ̧̀	tùtú	tèžú	kàkà	đìtó	đìđí	làʔƀá	tɨ́-làá		ñùú	ñàní	žàú	ìtá	ìđú	ìní	ìná	(šɨ̀tɨ́)	téè	túʔù̧	kɨ́đɨ̀		kùñú	kúʔà	ⁿdóʔò	đéʔè	sánù	đóʔò	nú̧ʔù̧	žútè	ƀíšì̧	ƀáʔà		kúmí			kóó		(tù-žòò)	đítá	(dɨ́kɨ́)	šíó	námá	núú	núní	žúú	žóó	kɨ̧́ʔɨ̧́	kúká	kúʔú	kèʔⁿdé	ká̧ʔá̧	kʷíá	đíkú	đáší̧	sáʔá	žúkú	žúʔá	(sá-)ƀìdí	ɨ̧́ɨ̧́	úú	ú̧ʔú̧		tɨ̀ñɨ̀		čáká	tù̧ù̧	kàđà	kâní	kâʔnù	kʷîší̧	kʷîì		(tɨ̀-)kʷêʔé	kʷâ̧á̧	ⁿdâʔú	đìkò	đí̧ʔú̧	sàà	líʔlì	ñá-žɨ̀ù	žâá
Coa		káʔší	ⁿdùʔȼì	ⁿdùʔtè	ⁿdàʔà	đàʔmà̧				šùʔù		šàʔà		šòʔò		ȼìñù				kùƀì	kàʔtà		kàʔmì̧	kòʔtò	kòʔò	kʷì̧ì̧		ƀìʔì			túʔtú			đító!	đíđí!	ȼàʔƀá!	làá!		ñù̧ú̧!	éní̧!	šáƀǐ	(làà)	"íđú ""horse"""		t-ìná̧!			tù̧ʔú̧!	kɨ̀đɨ́!	kàá!	kùñú̧!		ⁿdòʔó!	íʔšá!	ènú!		nù̧ʔú̧!		ƀíʔšǐ̧	ƀáʔǎ		kɨ́mǐ̧		káʔȼǐ	kóǒ	ⁿdíʔšȩ̌		íʔtǎ		šíǒ		nú̧ǔ̧		šúǔ	šóǒ	kɨ̧́ʔɨ̧̌			káʔⁿdé!		kʷíǎ					šúʔƀé	ƀí̧dǐ̧		úƀǐ	ú̧ʔǔ̧	ȼì̧ì̧		ȼú̧ǔ̧	ȼàʔká!		kàđá!	kànì̧	kàʔnù̧	kʷìʔší̧!	kʷìì	kʷèčì	kʷèʔé!	kʷà̧á̧	ⁿdàʔƀí!		đyúʔǔ	šèě	lùʔⁿdí!		
Mol	kītī	kāā (M)	ⁿdūčī	ⁿdūtē (M)	ⁿdāʔā (M)	sāʔmā (M)	žūtū̧ (M)	žūkū (M)		žūʔū (M)		žāʔā (M)	ñā̧ʔā̧	žōʔō	īčī	tī̧ñū̧		kīī	kūnū	kūū	kātā			kōtō	kōʔō	kʷā̧ā̧	ƀītā̧	ƀēʔē	īkū	ī̧ī̧	tūtù			stōò	sīsì				ñùù			ītà	īsù	īnì	īnà	čìī	tèē		kìsī	kàā		kʷàʔā		sèʔē			nù̧ʔū̧	žùtē	ƀìxī̧	ƀàʔā	tàtà̧	kù̧ù̧ (M)	kìƀì	kàčì	kòò (M)			stàà (M)	šìnì (M)		nàmà (M)	nùù	nùnì		žòò (M)	kí̧ʔì̧		kùʔù		kà̧ʔà̧	kʷìžà				žùkù		ƀìšì	ì̧ì̧	ùù	ù̧ʔù̧				čākā	tū̧ū̧		kání				kʷéčì			ⁿdáʔƀí	šìkō	šù̧ʔū̧		lūlī	ñà-žīƀī	
Oco	kītī			ⁿdūtē	ⁿdāʔá	sāʔmā	ñū̧tū̧	žūkū	žūū	žūʔú					īčī	tīñū	tōō				kātā	kākū						ƀēʔē	īkū					šītò	šīšì		sāà		ñūù	ñānì		ītà	īsù	īnì	t-īnà	čìhī	tèē			kàā	kùñū	kʷàʔā		sèʔē	xànū			žùtē		ƀàʔā	tà̧tà̧	kùmì						šìtà	šìnì			nùù	nùnì	žùù		kí̧ʔì̧		kùʔù		kà̧ʔà̧		šìkù	sàxì̧	xèʔè	žùkù								čù̧ú̧			kàsá	kání	káʔnū	kʷīxí̧					ⁿdáʔƀí	šìkó	šù̧ʔú̧	xēé	lūlí	ⁿǰīƀì	žáá
Ata	kɨ̄tɨ̄	kāxī	ⁿdūčī	ⁿdūtē	ⁿdāʔā	sāʔmā	žūNū	žūkū	žūū	žūʔū	žɨ̄kɨ̄	žāʔā	ñā̧ʔā̧	žōʔō	īčī	Nīñū	tōō	kīxī	kūnū	kūū	kātā	kākū	kāʔmū	kōtō	kōʔō	kʷā̧ā̧	ƀīNā	ƀēʔē	īkū	ī̧ī̧	tūtū		kākā	stōō	sīsī		sāā		ñūū	ñānī	žā(ƀ)ū	ītā		īnī	īnā	čìhī	tèē	Nù̧ʔū̧	kɨ̀sɨ̄	kàā	kùñū	kʷàʔā		sèʔē	xènū	sòʔō	Nù̧ʔū̧	žùtē	mìxī̧	ƀàʔā	tāNà	kū̧ù̧	kɨ̄ƀɨ̀		kōò	ⁿdīxȩ̀	ⁿdōò	stāà	šīnì	xīžò	nāmà	nūù	nūnì	žūù	žōò	kɨ̧̄ʔɨ̧̀	kūkà	kùʔù	kāʔⁿdè	kā̧ʔà̧		šīkù	sāxì̧	xēʔè	žūkù	žūʔƀà	ƀīšì	ɨ̧̄ɨ̧̀	ūù	ū̧ʔù̧	Ní̧í̧	Nɨ́ñɨ́	čù̧ú̧	čàká	Nú̧ú̧	kàsá	kánī	káʔnū	kʷíxí̧				kʷá̧á̧	ⁿdáʔú	šìkó	šù̧ʔú̧	xēé	lùlí	ñà-žūū	žáá
SM	kɨ̄tɨ̄ (M)	kāxī (M)	ⁿdūčī (M)	ⁿdūčā (M)	ⁿdāʔā (M)	sāʔmā (M)	žūnū (M)	žūkū (M)	žūū (M)	žūʔū (M)	žɨ̄kɨ̄ (M)	žāʔā (M)	ñā̧ʔā̧ (M)	žōʔō (M)	īčī (M)	tīñū	tōō	kīī	kūnū	kūū	kātā	kākū	kāʔmū	kōtō	kōʔō	kʷā̧ā̧	ƀīnā/ƀītā̧	ƀēʔē	īkū (M)	ī̧ī̧	tūtù	tēžù	kākà	stōò	šīì	sāʔƀà	sāà	nāmà	ñūù	ñānì	žāù	ītā	īsù	īnì	īnà	čìī	čàā	tù̧ʔū̧	kɨ̀sɨ̄	kàā	kùñū	kʷàʔā	ⁿdòʔō	sèʔē	xànū	sòʔō	nù̧ʔū̧	žùčā	ƀìxī̧	ƀàʔā	tānà	kū̧ù̧ (M)	kɨ̄ƀɨ̀	kāčì	kōò (M)	ⁿdīxà̧ (M)	ⁿdōò	stāà (M)	šīnì (M)	xīò	nāmà	nūù (M)	nūnì	žūù	žōò	kɨ̧̄ʔɨ̧̀	kūkà	kùʔù	kāʔⁿǰà	kā̧ʔà̧	kʷīà	šīkù	sāxì̧	xāʔà	žūkù	žūʔà	ƀīšì	ɨ̧̄ɨ̧̀	ūù	ū̧ʔù̧	tíñū	tɨ̄ní	čù̧ú̧ / tī-ñùú	čáká / tɨ̄-žáká	tú̧ú̧	kàsá	kánī	káʔnū	kʷíxí̧	kʷíì	kʷáčí	kʷáʔá	kʷá̧á̧	ⁿdáʔú	šìkó	šù̧ʔú̧	xáá	lúlí	ñà-žɨ̄ƀɨ̄	žáā
Cac	kītì (M)	kāà (M)	ⁿdūčī (M)			đāʔmà̧ (M)	žītò̧		žūù (M)	žūʔū (M)				žōʔò		čō̧ō̧		kīšī			kātā		kāʔmā̧				ƀīčī	ƀēʔē		ī̧ī̧	tūtù	tēì		đītò	đīđì		tì-lāà	nā̧mà̧	ñō̧ò̧	ñāñī̧					t-ì̧nā̧	tìšī			kìđī	kàā	kò̧ñō̧			đèʔē		đòʔō	nò̧ʔō̧		ƀìšī	ƀàʔā	tàtà (M)	kòmì̧ (M)		kàčì	kòò	ⁿdìsà	ⁿdòò (M)	đìtà (M)	đìnì (M)	šòò (M)	nàmà (M)			žùù			kùkà	kùʔù	tèʔⁿdè	kà̧ʔà̧	kùà			sàʔà		žùʔà	ƀìđì	ì̧ì̧			čí̧ì̧		čò̧ò̧	tì-žākā			kánì̧		kúší	kʷíì		kʷàʔá	kʷà̧á̧		đìkò		sàà	līlūū		žáà
Xay	kīsì (M)				ⁿdāʔà (M)	đāʔmà̧ (M)			yūì				ñā̧ʔà̧	yōʔò		čū̧ū̧	tōō			kūū							ƀīčī	ƀēʔē	īkū	ī̧ī̧	tūtū			đītò	đīđī			nāmā		ñānī	yāƀī		"īđū ""horse"""		sì-īnà		tʸàā			kàā		kùʔā	ⁿdòʔō	đèʔē	sànū				ƀìšī̧	ƀàʔā		kùmì (M)			kòò	ⁿdìsà̧		đìtà (M)				nùù		yùù (M)				kùʔù	tàʔⁿdè			đīkū	đášì			yùʔà	ƀìđì	ì̧ì̧	ùì		čī̧ī̧			s-yākā		kāđà					kʷātī	kʷàʔá	kʷà̧á̧	ⁿdàʔƀí						yàá
Ay		kàšìʔ	ⁿdùčíʔ	(ti kʷii)	ⁿdàʔáʔ	sàʔmáʔ	ìtú̧ʔ		yìwìʔ	yùʔúʔ	ìkìʔ					čù̧ù̧	tòò	kìšì	kùnù					kòtò			wìtì̧	wìʔè		ì̧ì̧	tùtù		kàkà	šìtò	šìšì		sàà	nāmà	ñùù	ñànì		ìtà		ìnì			tʸāà	tù̧ʔù̧	kìsì	kàà			ⁿdòʔò	sīʔè	šànù	sōʔò			wìšì̧	wàʔà		kùmíʔ		kāčìʔ	kōòʔ	ⁿdīšà̧ʔ		štā ̀ʔ	šīnìʔ		nāmàʔ		nūnìʔ	yūùʔ		kū̧ʔù̧		kūʔwà	kāʔⁿdʸà	kā̧ʔà̧		sīkù	sāšì̧		"yūkù ""leaf"""				ūwì				tʸù̧ù̧ʔ	tʸàkáʔ	tù̧ú̧ʔ	kàsáʔ	kánìʔ	"káʔnúʔ ""important"""		kʷíìʔ	kʷáčí	kʷáʔá	kʷá̧á̧	ⁿdàʔwí	šìkòʔ	šù̧ʔú̧ʔ		lúlú	nè-yíwìʔ	yáà
Ala			ⁿdūčù		ⁿdàʔā					yūʔù						čīñō̧											ƀītī̧	ƀēʔē				tāyì							ñō̧ō̧		yāƀì		yūsū		īnā̧				kìsī		kùñō̧		ⁿdòʔō			sòʔō			ƀìšī	ƀàʔā			kìƀì		kòò			sìtà		šìyò				yùù	yòò	kò̧ʔò̧	kʷìkà							šàʔà		yìʔƀà					číì		tì̧ú̧	tiáká	tò̧ó̧		kánì					kʷáʔá	kʷá̧á̧				šāá		nì̧ƀī	láà
Met	kītí	kāšī			ⁿdàʔā		yūtú̧		yūƀì (M)	yùʔū	īkí			yōʔó	īčí				kūnū	kūƀī	kātā			kōtō				ƀēʔē		ī̧ī̧	tūtū	tʸāyù	kākā’	šītò	šīšī		sāā	nāmà		yānī		ītā		īnī		tīšī	tʸàā	tù̧ʔū̧	kìsī	kàà	kùñù	kūʔƀā		sēʔē	sānù			ítʸā	ƀìšī̧	ƀàʔā	tàtà̧(ā̧)(M)	kùmī (M)	kìƀì(ī)		kōò (M)			sītà	šìnī		nàmà(ā) (M)		nùnì(ī) (M)	yùū				kūʔƀī	kāʔⁿdʸā	kā̧ʔā̧		šīkū	sāšī̧	šàʔā			ƀìšì				čí̧ì̧	tì̧ī̧		tʸàká		kāsā		káʔnū			kʷàčī	kʷáʔā	kʷá̧á̧						yūúƀī	
Cah	kītī	kāšī	ⁿdǜčǜ	(ta kʷiyi)	ⁿdāʔā		yītnō	yǖkǜ	yīwí	yǖʔǖ	yīkī	yāʔā	ñāʔà		yīčī	čīñō		kísī				kākū	kāʔmī		kōʔō		wītnī	wēʔē		í̧í̧		tāyī	kākā	sītō	sīsī		sáá		ñó̧ō̧	ñānī	yāwī	yītā	tn-ǖsǖ	īnī	(ñ)īnā	tīšī		tnō̧ʔō̧		kàà	kùñū̧		ⁿdōʔō	sāʔyā	šānō	sòʔō	nò̧ʔō̧	yǜtā	wìšī̧	wāʔā		kūmī	kìwì	kàčì		ⁿdǜsà	ⁿdòò	sītā	sìnì	šìyò		nò̧ò̧	nònì	yǜǜ	yòò				kāʔⁿdā	kā̧ʔā̧	kʷīyā		sāšī̧	šāʔā	yǜkǜ		wīsī	ì̧ì̧	ōwī	ō̧ʔō̧	čī̧ī̧		tʸó̧ó̧	tʸāká	tnō̧ó̧			kāʔnō		kʷíí	kʷāčí	kʷáʔá	kʷá̧á̧	ⁿdāʔwī	síkò			lōʔō		yáá
Mix					ⁿdāʔá	sàʔmǎ			yùƀǐ	yūʔú		yāʔá	ñā̧ʔá̧	yōʔó		čī̧ū̧												ƀēʔē		ī̧ī̧	tūtù		kākà	šītò		sàʔƀà			ñūù		yàƀì	ītà			t-i᷅nā	tīȼī	čàā	tù̧ʔū̧	kìsī	kàā			ⁿdòʔō	sèʔē				yùčā	ƀìȼī	ƀàʔā	tàtǎ	kùmǐ		kàčǐ	kòó	ⁿzìȼǎ	ⁿdòó	stàá			nàmǎ	nùú		yùú	yòó		kʷìkà				kʷìà							ì̧ì̧		ù̧ʔù̧	čî̧í̧		čù̧ū̧					káʔnū	kʷíȼì	kʷîí		kʷáʔà	kʷá̧à̧			šǔ̧ʔū̧	ȼǎā	lūū		yâá
Sil	kítì	kāší	ⁿdǘčǜ		ⁿdáʔà	háʔmà	žítò	žǘkǜ		žǘʔǜ		žáʔà	ñá̧ʔà̧	žóʔò	íčì	čū̧ū̧				kūū	kātā					kʷȩ̄ȩ̀	ƀītī	ƀēʔē		ī̧ī̧	tǖtǖ			hìtò	hìhì	láʔƀà	lāā		ñūū	ñànì	žáƀì		ǖhǖ	īnī	t-ìnā	tìšī	tàà	tù̧ʔū̧		kàà		kʸàʔƀà	ⁿdòʔō	hàʔžī	sànù			žǜtā	ƀīšī	ƀàʔā	tàtà	kòmì	kìƀì	kàčì	kòò	ⁿdǜsà	ⁿdòò	hìtà	hìnì	šòò	nà̧mà̧	nùù	nù̧nì̧		žòò	kù̧ʔù̧		kìʔƀì	"tàʔⁿdà ""ƀroken"""	kà̧ʔà̧	kʷyàà	hǜkǜ	hàšì	šàʔà	"žǜkǜ ""weeds"""		ƀìhì	ì̧ì̧	ìƀì	ù̧ʔù̧	čí̧ì̧	tì̧í̧		tī-žàká	tù̧ú̧	kàhá		káʔnū		kʷíī		kʷáʔá	kʷá̧á̧		hìkó	hyù̧ʔú̧	sàá	lōʔō	žīƀī	žáà
Jic	kìtì	káčì		ⁿdùtà	ⁿdàʔà	sàʔmà	yùtù̧		yùƀì				ñà̧ʔà̧	yòʔò	ìtì			kíčì	kúnú								ƀìtì̧	ƀèʔè	ìkù	ì̧ì̧	tūtū	tāyū	kākā	šītō	čīšī	sāʔƀā	sāā	nāmā	ñū̧ū̧			ītā			īnā	tíčí		tú̧ʔú̧	kísí	káā			ⁿdóʔō	séʔé	čánū	sóʔó		yútá		ƀáʔá		kúmí		kátí	kóó		ⁿdóó	šítá	šíní			nú̧ú̧	núní	yúú	yóó				kàʔⁿdà	kà̧ʔā̧						yūʔƀā		í̧í̧	úƀí	ú̧ʔú̧	tìñì	tɨ̄ñɨ́			tù̧ù̧					kʷìì	kʷàtì		"kʷà̧ā̧(-čí) ""it is yellow"""		šíkò	šú̧ʔú̧	čàà	lùʔù	ñíƀí	
Jam	kɨ̄tɨ̄		ⁿdūtʸī					yūkū	yūū	yūʔū				yōʔō	ītʸī												ƀītʸī	ƀēʔē		ī̧ī̧	tūtù	tēì						nāmà	ñūù		yāƀì	ītà						tù̧ʔū̧				kùʔƀā	ⁿdòʔō	θèʔē						ƀàʔā	tàtà	kùmì	kɨ̀ƀɨ̀		kòò			šìtà	šìnì	sìyò	nàmà	nùù		yùù	yòò						kʷìyà			šàʔà	yùkù												káñí	kàʔnū						ⁿdāʔƀí			sāá	lúʔlū	ñì-yɨ̄ƀɨ̄	
